Name,DisplayName,Wave,ColourPrimary,ColourSecondary,Mechanic,MechanicDesc,Playstyle,StatMods
SKULKIN,Skulkin,MVP,#E8E3D3,#8B1A1A,Already Dead,"Skulkin never rout. When a Skulkin model 'dies' it collapses into a bone pile and reassembles after 20s at 50% HP, once per battle.","Cheap, fast, expendable. Wins by numbers and never breaking. Weak per-model.",hpx0.85; speedx1.05; costx0.8; moralex99
SERPENTINE,Serpentine,MVP,#3C7A3C,#C8A22A,Cold-Blooded,"+10% to all combat stats in sun/desert tiles, -15% in shade, snow or night. Plan your battlefield.","Five tribes, five toolkits: hypnosis, conversion, burrowing, venom, and Anacondrai elites.",speedx1.05; moralex0.95
STONE_ARMY,Stone Army,MVP,#1C1C1C,#B03030,Helmet of Shadows,"The army obeys whoever carries the Helmet. Immune to morale while the bearer lives. If the bearer is killed, ANY hero touching the dropped Helmet takes control of every Stone unit on the field.","Slow, armoured, nearly unkillable. A single objective (the Helmet) is its glass jaw.",armour+3; speedx0.85; costx1.2; moralex99
NINJA,Ninja & Ninjago,MVP,#1E6FBF,#D9B310,Elemental Powers,"Few units, all heroes. Each Elemental Master has a signature power on a short cooldown. Spinjitzu = short dash that damages everything passed through.",The player's starter faction. Tiny armies of very strong individuals. Ability-driven.,costx1.3; moralex1.1
NINDROID,Nindroid Army,WAVE2,#2B2B2B,#00C2C7,Networked,"Nindroids never rout. Whenever General Cryptor is alive, all Nindroids gain +1 attack. If he dies, they gain +2 instead (no more backseat commanding).","Disciplined, ranged-capable, expensive. No morale phase at all.",costx1.15; rng_atk+2; moralex99
CULTISTS,Anacondrai Cultists,WAVE2,#5B2C87,#C8102E,The Curse,"Chen's spell transforms cultist units into Anacondrai mid-battle: pay the cost, and a LINE unit permanently upgrades to ELITE for the rest of the campaign.","Starts weak, snowballs. Reward for surviving.",costx0.95
GHOST,Ghost Warriors,WAVE2,#3FE0A0,#1A1A2E,Cursed,"Ghosts ignore armour entirely and can pass through walls, but ANY water contact (rain, rivers, the Water Ninja) deals massive damage. Weather is a live threat.",Terrifying on a dry map. Deletes itself on a wet one.,armourx0.0; apx1.6; hpx0.8
SKY_PIRATES,Sky Pirates,WAVE2,#8B4513,#2E8B57,Twisted Wishes,"Nadakhan can grant a wish to an enemy hero once per battle: they get a big buff, and Nadakhan takes control of them for 15s.","Raiders. Strong ranged, weak line, high mobility, one huge trick.",speedx1.1; rng_atk+1; hpx0.9
VERMILLION,Vermillion,WAVE2,#B22222,#4A4A4A,Reform,"A destroyed Vermillion unit leaves a snake swarm. If the swarm survives 30s, the whole unit reforms at 60% strength. Kill the snakes, not the armour.",Attrition nightmare. You must finish the job.,hpx1.1; speedx0.95
SONS_OF_GARMADON,Sons of Garmadon,WAVE2,#4B0082,#E8E8E8,Oni Masks,"Three masks (Deception, Vengeance, Hatred) are equipment, not characters. Assign each to any hero before battle for a different ultimate.","Bikers. Fast cavalry-heavy, hero-centric.",speedx1.15; charge+4; armour-1
DRAGON_HUNTERS,Dragon Hunters,WAVE2,#8B7355,#FF6A00,Dragon Bait,"Hunters can chain and capture any MONSTER/GIANT on the field, including the enemy's, and use it for the rest of the battle.",Scrap-armoured skirmishers who steal your best unit.,costx0.9; rng_atk+1
PYRO_VIPERS,Pyro Vipers,WAVE3,#FF8C00,#8B0000,Stolen Spinjitzu,"Aspheera drains a defeated enemy hero's power and adds their ability to her own bar, permanently.","Fire, area damage, a Lord that grows every battle.",dmgx1.1; armour-1
BLIZZARD_SAMURAI,Blizzard Samurai,WAVE3,#BFE8F5,#2C5F7C,The Long Winter,"Every 60s the map freezes another step: enemy speed -10% (stacking to -40%), Blizzard units unaffected. Win slowly or lose.",Defensive. Turns the clock into a weapon.,armour+1; speedx0.9; moralex1.05
CRYSTAL_ARMY,Crystal Army,WAVE3,#7B2FBF,#00E5FF,Vengestone,Enemy heroes inside 800cm of any Vengestone unit cannot use abilities at all. Powers simply switch off.,The anti-hero faction. Shuts down everything the player likes.,armour+2; costx1.1
IMPERIUM,Imperium,WAVE3,#D4AF37,#14B8B8,Dragon Cores,Imperium spends captured dragons as fuel: sacrifice a captured MONSTER to fully heal and re-ammo the whole army once per battle.,"Rich, high-tech, morally bankrupt. Good at everything, expensive.",costx1.25; armour+1; rng_atk+1
WOLF_CLAN,Wolf Clan,WAVE3,#5A5A5A,#C8102E,Pack Tactics,"+2 attack for every friendly unit within 600cm, up to +6. They fight better in a mob.","Cheap, aggressive, must stay clustered.",costx0.85; charge+3
GREENBONES,Greenbone Warriors,WAVE3,#8FBF3F,#2F2F2F,Rise Again,Every enemy model that dies within 500cm of the Bone King rises as a Greenbone Warrior on your side.,"Snowballing undead horde. The longer the fight, the bigger they get.",hpx0.9; costx0.8; moralex99
